year,week,loc,state,country,loc_type,number,event
1916,31,WHEELING,WV,US,CITY,1,CASES
1916,36,WHEELING,WV,US,CITY,1,CASES
1917,26,WHEELING,WV,US,CITY,1,CASES
1917,33,WHEELING,WV,US,CITY,1,CASES
1917,38,WHEELING,WV,US,CITY,1,CASES
1917,39,WHEELING,WV,US,CITY,1,CASES
1920,30,WHEELING,WV,US,CITY,1,CASES
1921,22,WHEELING,WV,US,CITY,1,CASES
1924,2,WHEELING,WV,US,CITY,0,CASES
1924,29,WHEELING,WV,US,CITY,0,CASES
1924,30,WHEELING,WV,US,CITY,1,CASES
1924,36,WHEELING,WV,US,CITY,0,CASES
1924,38,WHEELING,WV,US,CITY,1,CASES
1924,53,WHEELING,WV,US,CITY,0,CASES
1925,5,WHEELING,WV,US,CITY,0,CASES
1925,11,WHEELING,WV,US,CITY,0,CASES
1925,26,WHEELING,WV,US,CITY,1,CASES
1925,32,WHEELING,WV,US,CITY,1,CASES
1926,13,WHEELING,WV,US,CITY,0,CASES
1926,35,WHEELING,WV,US,CITY,1,CASES
1926,47,WHEELING,WV,US,CITY,0,CASES
1927,30,WHEELING,WV,US,CITY,2,CASES
1927,32,WHEELING,WV,US,CITY,8,CASES
1927,33,WHEELING,WV,US,CITY,5,CASES
1927,34,WHEELING,WV,US,CITY,3,CASES
1927,35,WHEELING,WV,US,CITY,3,CASES
1927,36,WHEELING,WV,US,CITY,1,CASES
1927,37,WHEELING,WV,US,CITY,2,CASES
1927,38,WHEELING,WV,US,CITY,1,CASES
1927,39,WHEELING,WV,US,CITY,1,CASES
1927,40,WHEELING,WV,US,CITY,4,CASES
1927,41,WHEELING,WV,US,CITY,5,CASES
1927,42,WHEELING,WV,US,CITY,3,CASES
1927,43,WHEELING,WV,US,CITY,2,CASES
1927,44,WHEELING,WV,US,CITY,1,CASES
1927,45,WHEELING,WV,US,CITY,2,CASES
1927,47,WHEELING,WV,US,CITY,1,CASES
1927,48,WHEELING,WV,US,CITY,1,CASES
1927,49,WHEELING,WV,US,CITY,2,CASES
1928,22,WHEELING,WV,US,CITY,0,CASES
1928,35,WHEELING,WV,US,CITY,1,CASES
1928,37,WHEELING,WV,US,CITY,1,CASES
1928,41,WHEELING,WV,US,CITY,1,CASES
1928,42,WHEELING,WV,US,CITY,1,CASES
1928,50,WHEELING,WV,US,CITY,2,CASES
1929,2,WHEELING,WV,US,CITY,0,CASES
1929,6,WHEELING,WV,US,CITY,0,CASES
1929,10,WHEELING,WV,US,CITY,0,CASES
1929,30,WHEELING,WV,US,CITY,0,CASES
1929,35,WHEELING,WV,US,CITY,0,CASES
1929,36,WHEELING,WV,US,CITY,1,CASES
1929,42,WHEELING,WV,US,CITY,0,CASES
1929,44,WHEELING,WV,US,CITY,0,CASES
1929,48,WHEELING,WV,US,CITY,0,CASES
1930,8,WHEELING,WV,US,CITY,0,CASES
1930,9,WHEELING,WV,US,CITY,0,CASES
1930,11,WHEELING,WV,US,CITY,0,CASES
1930,15,WHEELING,WV,US,CITY,0,CASES
1930,21,WHEELING,WV,US,CITY,0,CASES
1930,26,WHEELING,WV,US,CITY,0,CASES
1930,28,WHEELING,WV,US,CITY,1,CASES
1930,34,WHEELING,WV,US,CITY,0,CASES
1930,36,WHEELING,WV,US,CITY,1,CASES
1930,44,WHEELING,WV,US,CITY,1,CASES
1930,45,WHEELING,WV,US,CITY,1,CASES
1931,20,WHEELING,WV,US,CITY,0,CASES
1931,21,WHEELING,WV,US,CITY,1,CASES
1931,29,WHEELING,WV,US,CITY,1,CASES
1931,30,WHEELING,WV,US,CITY,1,CASES
1931,32,WHEELING,WV,US,CITY,0,CASES
1931,33,WHEELING,WV,US,CITY,2,CASES
1931,34,WHEELING,WV,US,CITY,1,CASES
1931,35,WHEELING,WV,US,CITY,2,CASES
1931,38,WHEELING,WV,US,CITY,1,CASES
1931,44,WHEELING,WV,US,CITY,0,CASES
1931,45,WHEELING,WV,US,CITY,0,CASES
1932,10,WHEELING,WV,US,CITY,0,CASES
1932,12,WHEELING,WV,US,CITY,1,CASES
1932,13,WHEELING,WV,US,CITY,1,CASES
1932,20,WHEELING,WV,US,CITY,0,CASES
1933,4,WHEELING,WV,US,CITY,1,CASES
1933,5,WHEELING,WV,US,CITY,2,CASES
1933,11,WHEELING,WV,US,CITY,1,CASES
1933,28,WHEELING,WV,US,CITY,1,CASES
1933,29,WHEELING,WV,US,CITY,1,CASES
1933,30,WHEELING,WV,US,CITY,1,CASES
1933,33,WHEELING,WV,US,CITY,1,CASES
1933,37,WHEELING,WV,US,CITY,1,CASES
1933,49,WHEELING,WV,US,CITY,0,CASES
1933,50,WHEELING,WV,US,CITY,1,CASES
1934,4,WHEELING,WV,US,CITY,1,CASES
1934,16,WHEELING,WV,US,CITY,0,CASES
1934,21,WHEELING,WV,US,CITY,1,CASES
1934,31,WHEELING,WV,US,CITY,1,CASES
1934,32,WHEELING,WV,US,CITY,1,CASES
1934,33,WHEELING,WV,US,CITY,1,CASES
1934,36,WHEELING,WV,US,CITY,2,CASES
1935,5,WHEELING,WV,US,CITY,0,CASES
1935,11,WHEELING,WV,US,CITY,0,CASES
1935,12,WHEELING,WV,US,CITY,0,CASES
1935,13,WHEELING,WV,US,CITY,0,CASES
1935,22,WHEELING,WV,US,CITY,1,CASES
1935,28,WHEELING,WV,US,CITY,0,CASES
