year,week,loc,state,country,loc_type,number,event
1918,16,AMSTERDAM,NY,US,CITY,1,CASES
1918,17,AMSTERDAM,NY,US,CITY,6,CASES
1918,18,AMSTERDAM,NY,US,CITY,3,CASES
1918,23,AMSTERDAM,NY,US,CITY,1,CASES
1923,1,AMSTERDAM,NY,US,CITY,8,CASES
1923,2,AMSTERDAM,NY,US,CITY,1,CASES
1923,3,AMSTERDAM,NY,US,CITY,3,CASES
1923,4,AMSTERDAM,NY,US,CITY,7,CASES
1923,5,AMSTERDAM,NY,US,CITY,9,CASES
1923,6,AMSTERDAM,NY,US,CITY,4,CASES
1923,7,AMSTERDAM,NY,US,CITY,1,CASES
1923,8,AMSTERDAM,NY,US,CITY,2,CASES
1923,9,AMSTERDAM,NY,US,CITY,2,CASES
1923,10,AMSTERDAM,NY,US,CITY,4,CASES
1923,11,AMSTERDAM,NY,US,CITY,2,CASES
1923,12,AMSTERDAM,NY,US,CITY,2,CASES
1923,13,AMSTERDAM,NY,US,CITY,1,CASES
1923,14,AMSTERDAM,NY,US,CITY,1,CASES
1923,15,AMSTERDAM,NY,US,CITY,2,CASES
1923,16,AMSTERDAM,NY,US,CITY,1,CASES
1923,19,AMSTERDAM,NY,US,CITY,1,CASES
1923,21,AMSTERDAM,NY,US,CITY,1,CASES
1923,22,AMSTERDAM,NY,US,CITY,1,CASES
1923,23,AMSTERDAM,NY,US,CITY,4,CASES
1923,24,AMSTERDAM,NY,US,CITY,1,CASES
1923,25,AMSTERDAM,NY,US,CITY,1,CASES
1923,26,AMSTERDAM,NY,US,CITY,1,CASES
1923,28,AMSTERDAM,NY,US,CITY,1,CASES
1923,29,AMSTERDAM,NY,US,CITY,2,CASES
1923,30,AMSTERDAM,NY,US,CITY,2,CASES
1923,33,AMSTERDAM,NY,US,CITY,1,CASES
1923,35,AMSTERDAM,NY,US,CITY,1,CASES
1923,36,AMSTERDAM,NY,US,CITY,1,CASES
1923,38,AMSTERDAM,NY,US,CITY,1,CASES
1923,39,AMSTERDAM,NY,US,CITY,1,CASES
1923,40,AMSTERDAM,NY,US,CITY,4,CASES
1923,41,AMSTERDAM,NY,US,CITY,4,CASES
1923,42,AMSTERDAM,NY,US,CITY,9,CASES
1923,43,AMSTERDAM,NY,US,CITY,17,CASES
1923,44,AMSTERDAM,NY,US,CITY,31,CASES
1923,45,AMSTERDAM,NY,US,CITY,6,CASES
1923,46,AMSTERDAM,NY,US,CITY,9,CASES
1923,47,AMSTERDAM,NY,US,CITY,12,CASES
1923,48,AMSTERDAM,NY,US,CITY,4,CASES
1923,49,AMSTERDAM,NY,US,CITY,5,CASES
1923,50,AMSTERDAM,NY,US,CITY,7,CASES
1923,51,AMSTERDAM,NY,US,CITY,2,CASES
1923,52,AMSTERDAM,NY,US,CITY,2,CASES
