year,week,loc,state,country,loc_type,number,event
1924,46,PHOENIX,AZ,US,CITY,0,CASES
1924,47,PHOENIX,AZ,US,CITY,0,CASES
1924,48,PHOENIX,AZ,US,CITY,0,CASES
1924,50,PHOENIX,AZ,US,CITY,0,CASES
1924,52,PHOENIX,AZ,US,CITY,0,CASES
1924,53,PHOENIX,AZ,US,CITY,0,CASES
1925,1,PHOENIX,AZ,US,CITY,0,CASES
1925,2,PHOENIX,AZ,US,CITY,0,CASES
1925,3,PHOENIX,AZ,US,CITY,1,CASES
1925,4,PHOENIX,AZ,US,CITY,0,CASES
1925,5,PHOENIX,AZ,US,CITY,0,CASES
1925,13,PHOENIX,AZ,US,CITY,0,CASES
1925,20,PHOENIX,AZ,US,CITY,0,CASES
1925,21,PHOENIX,AZ,US,CITY,0,CASES
1925,22,PHOENIX,AZ,US,CITY,0,CASES
1925,24,PHOENIX,AZ,US,CITY,0,CASES
1925,25,PHOENIX,AZ,US,CITY,0,CASES
1925,27,PHOENIX,AZ,US,CITY,0,CASES
1925,28,PHOENIX,AZ,US,CITY,0,CASES
1925,29,PHOENIX,AZ,US,CITY,0,CASES
1925,30,PHOENIX,AZ,US,CITY,0,CASES
1925,31,PHOENIX,AZ,US,CITY,0,CASES
1925,32,PHOENIX,AZ,US,CITY,0,CASES
1925,33,PHOENIX,AZ,US,CITY,0,CASES
1925,34,PHOENIX,AZ,US,CITY,0,CASES
1925,35,PHOENIX,AZ,US,CITY,0,CASES
1925,36,PHOENIX,AZ,US,CITY,0,CASES
1925,37,PHOENIX,AZ,US,CITY,0,CASES
1925,38,PHOENIX,AZ,US,CITY,0,CASES
1925,39,PHOENIX,AZ,US,CITY,0,CASES
1925,40,PHOENIX,AZ,US,CITY,0,CASES
1925,41,PHOENIX,AZ,US,CITY,0,CASES
1925,42,PHOENIX,AZ,US,CITY,0,CASES
1925,43,PHOENIX,AZ,US,CITY,0,CASES
1925,44,PHOENIX,AZ,US,CITY,0,CASES
1925,45,PHOENIX,AZ,US,CITY,0,CASES
1925,46,PHOENIX,AZ,US,CITY,0,CASES
1925,47,PHOENIX,AZ,US,CITY,0,CASES
1925,48,PHOENIX,AZ,US,CITY,0,CASES
1925,49,PHOENIX,AZ,US,CITY,0,CASES
1925,50,PHOENIX,AZ,US,CITY,0,CASES
1925,51,PHOENIX,AZ,US,CITY,0,CASES
