year,week,loc,state,country,loc_type,number,event
1913,2,LITTLE ROCK,AR,US,CITY,3,CASES
1913,7,LITTLE ROCK,AR,US,CITY,1,CASES
1913,28,LITTLE ROCK,AR,US,CITY,5,CASES
1914,24,LITTLE ROCK,AR,US,CITY,1,CASES
1914,51,LITTLE ROCK,AR,US,CITY,1,CASES
1916,7,LITTLE ROCK,AR,US,CITY,1,CASES
1917,27,LITTLE ROCK,AR,US,CITY,1,CASES
1917,31,LITTLE ROCK,AR,US,CITY,2,CASES
1918,1,LITTLE ROCK,AR,US,CITY,2,CASES
1918,2,LITTLE ROCK,AR,US,CITY,3,CASES
1918,3,LITTLE ROCK,AR,US,CITY,3,CASES
1918,5,LITTLE ROCK,AR,US,CITY,1,CASES
1918,6,LITTLE ROCK,AR,US,CITY,1,CASES
1918,7,LITTLE ROCK,AR,US,CITY,1,CASES
1918,8,LITTLE ROCK,AR,US,CITY,1,CASES
1918,9,LITTLE ROCK,AR,US,CITY,5,CASES
1918,10,LITTLE ROCK,AR,US,CITY,1,CASES
1918,11,LITTLE ROCK,AR,US,CITY,1,CASES
1918,15,LITTLE ROCK,AR,US,CITY,1,CASES
1918,17,LITTLE ROCK,AR,US,CITY,2,CASES
1918,19,LITTLE ROCK,AR,US,CITY,3,CASES
1918,20,LITTLE ROCK,AR,US,CITY,2,CASES
1918,21,LITTLE ROCK,AR,US,CITY,1,CASES
1918,23,LITTLE ROCK,AR,US,CITY,1,CASES
1918,39,LITTLE ROCK,AR,US,CITY,1,CASES
1918,40,LITTLE ROCK,AR,US,CITY,1,CASES
1918,52,LITTLE ROCK,AR,US,CITY,1,CASES
1919,2,LITTLE ROCK,AR,US,CITY,2,CASES
1919,5,LITTLE ROCK,AR,US,CITY,1,CASES
1919,6,LITTLE ROCK,AR,US,CITY,1,CASES
1919,17,LITTLE ROCK,AR,US,CITY,1,CASES
1919,24,LITTLE ROCK,AR,US,CITY,1,CASES
1920,14,LITTLE ROCK,AR,US,CITY,1,CASES
1920,48,LITTLE ROCK,AR,US,CITY,2,CASES
1922,45,LITTLE ROCK,AR,US,CITY,1,CASES
1924,13,LITTLE ROCK,AR,US,CITY,0,CASES
1924,17,LITTLE ROCK,AR,US,CITY,0,CASES
1924,20,LITTLE ROCK,AR,US,CITY,0,CASES
1924,23,LITTLE ROCK,AR,US,CITY,0,CASES
1924,24,LITTLE ROCK,AR,US,CITY,0,CASES
1924,25,LITTLE ROCK,AR,US,CITY,0,CASES
1924,26,LITTLE ROCK,AR,US,CITY,0,CASES
1924,27,LITTLE ROCK,AR,US,CITY,0,CASES
1924,31,LITTLE ROCK,AR,US,CITY,0,CASES
1924,37,LITTLE ROCK,AR,US,CITY,0,CASES
1924,38,LITTLE ROCK,AR,US,CITY,0,CASES
1924,40,LITTLE ROCK,AR,US,CITY,0,CASES
1924,42,LITTLE ROCK,AR,US,CITY,0,CASES
1924,43,LITTLE ROCK,AR,US,CITY,0,CASES
1924,45,LITTLE ROCK,AR,US,CITY,0,CASES
1924,46,LITTLE ROCK,AR,US,CITY,0,CASES
1924,47,LITTLE ROCK,AR,US,CITY,0,CASES
1924,49,LITTLE ROCK,AR,US,CITY,0,CASES
1924,51,LITTLE ROCK,AR,US,CITY,0,CASES
1925,2,LITTLE ROCK,AR,US,CITY,0,CASES
1925,5,LITTLE ROCK,AR,US,CITY,0,CASES
1925,6,LITTLE ROCK,AR,US,CITY,1,CASES
1925,7,LITTLE ROCK,AR,US,CITY,0,CASES
1925,12,LITTLE ROCK,AR,US,CITY,0,CASES
1925,13,LITTLE ROCK,AR,US,CITY,0,CASES
1925,16,LITTLE ROCK,AR,US,CITY,0,CASES
1925,17,LITTLE ROCK,AR,US,CITY,0,CASES
1925,18,LITTLE ROCK,AR,US,CITY,0,CASES
1925,19,LITTLE ROCK,AR,US,CITY,0,CASES
1925,20,LITTLE ROCK,AR,US,CITY,0,CASES
1925,21,LITTLE ROCK,AR,US,CITY,0,CASES
1925,22,LITTLE ROCK,AR,US,CITY,0,CASES
1925,23,LITTLE ROCK,AR,US,CITY,0,CASES
1925,24,LITTLE ROCK,AR,US,CITY,0,CASES
1925,25,LITTLE ROCK,AR,US,CITY,0,CASES
1925,28,LITTLE ROCK,AR,US,CITY,0,CASES
1925,36,LITTLE ROCK,AR,US,CITY,1,CASES
1925,37,LITTLE ROCK,AR,US,CITY,0,CASES
1925,38,LITTLE ROCK,AR,US,CITY,0,CASES
1925,39,LITTLE ROCK,AR,US,CITY,0,CASES
1925,41,LITTLE ROCK,AR,US,CITY,0,CASES
1925,42,LITTLE ROCK,AR,US,CITY,0,CASES
1925,43,LITTLE ROCK,AR,US,CITY,0,CASES
1925,45,LITTLE ROCK,AR,US,CITY,0,CASES
1925,47,LITTLE ROCK,AR,US,CITY,0,CASES
1926,1,LITTLE ROCK,AR,US,CITY,0,CASES
1926,3,LITTLE ROCK,AR,US,CITY,1,CASES
1926,4,LITTLE ROCK,AR,US,CITY,0,CASES
1926,7,LITTLE ROCK,AR,US,CITY,0,CASES
1926,9,LITTLE ROCK,AR,US,CITY,0,CASES
1926,19,LITTLE ROCK,AR,US,CITY,0,CASES
1926,23,LITTLE ROCK,AR,US,CITY,1,CASES
1926,24,LITTLE ROCK,AR,US,CITY,0,CASES
1926,25,LITTLE ROCK,AR,US,CITY,0,CASES
1926,26,LITTLE ROCK,AR,US,CITY,0,CASES
1926,27,LITTLE ROCK,AR,US,CITY,0,CASES
1926,28,LITTLE ROCK,AR,US,CITY,0,CASES
1926,30,LITTLE ROCK,AR,US,CITY,0,CASES
1926,31,LITTLE ROCK,AR,US,CITY,0,CASES
1926,32,LITTLE ROCK,AR,US,CITY,0,CASES
1926,33,LITTLE ROCK,AR,US,CITY,0,CASES
1926,34,LITTLE ROCK,AR,US,CITY,0,CASES
1926,35,LITTLE ROCK,AR,US,CITY,0,CASES
1926,36,LITTLE ROCK,AR,US,CITY,0,CASES
1926,37,LITTLE ROCK,AR,US,CITY,0,CASES
1926,38,LITTLE ROCK,AR,US,CITY,0,CASES
1926,39,LITTLE ROCK,AR,US,CITY,0,CASES
1926,43,LITTLE ROCK,AR,US,CITY,0,CASES
1926,44,LITTLE ROCK,AR,US,CITY,0,CASES
1926,45,LITTLE ROCK,AR,US,CITY,0,CASES
1926,46,LITTLE ROCK,AR,US,CITY,0,CASES
1926,48,LITTLE ROCK,AR,US,CITY,0,CASES
1927,1,LITTLE ROCK,AR,US,CITY,0,CASES
1927,2,LITTLE ROCK,AR,US,CITY,0,CASES
1927,3,LITTLE ROCK,AR,US,CITY,1,CASES
1927,4,LITTLE ROCK,AR,US,CITY,1,CASES
1927,5,LITTLE ROCK,AR,US,CITY,0,CASES
1927,7,LITTLE ROCK,AR,US,CITY,0,CASES
1927,10,LITTLE ROCK,AR,US,CITY,0,CASES
1927,11,LITTLE ROCK,AR,US,CITY,0,CASES
1927,12,LITTLE ROCK,AR,US,CITY,0,CASES
1927,15,LITTLE ROCK,AR,US,CITY,0,CASES
1927,16,LITTLE ROCK,AR,US,CITY,0,CASES
1927,17,LITTLE ROCK,AR,US,CITY,0,CASES
1927,19,LITTLE ROCK,AR,US,CITY,0,CASES
1927,20,LITTLE ROCK,AR,US,CITY,0,CASES
1927,21,LITTLE ROCK,AR,US,CITY,0,CASES
1927,22,LITTLE ROCK,AR,US,CITY,0,CASES
1927,35,LITTLE ROCK,AR,US,CITY,0,CASES
1929,17,LITTLE ROCK,AR,US,CITY,0,CASES
