year,week,loc,state,country,loc_type,number,event
1912,12,DULUTH,MN,US,CITY,1,CASES
1914,29,DULUTH,MN,US,CITY,1,CASES
1916,37,DULUTH,MN,US,CITY,1,CASES
1916,38,DULUTH,MN,US,CITY,1,CASES
1916,39,DULUTH,MN,US,CITY,2,CASES
1916,40,DULUTH,MN,US,CITY,2,CASES
1917,37,DULUTH,MN,US,CITY,1,CASES
1918,3,DULUTH,MN,US,CITY,1,CASES
1918,20,DULUTH,MN,US,CITY,1,CASES
1918,41,DULUTH,MN,US,CITY,1,CASES
1918,42,DULUTH,MN,US,CITY,1,CASES
1918,45,DULUTH,MN,US,CITY,8,CASES
1919,44,DULUTH,MN,US,CITY,1,CASES
1920,41,DULUTH,MN,US,CITY,1,CASES
1921,28,DULUTH,MN,US,CITY,1,CASES
1921,30,DULUTH,MN,US,CITY,1,CASES
1921,39,DULUTH,MN,US,CITY,1,CASES
1922,30,DULUTH,MN,US,CITY,4,CASES
1923,33,DULUTH,MN,US,CITY,2,CASES
1923,34,DULUTH,MN,US,CITY,1,CASES
1923,36,DULUTH,MN,US,CITY,3,CASES
1923,40,DULUTH,MN,US,CITY,1,CASES
1924,3,DULUTH,MN,US,CITY,0,CASES
1924,8,DULUTH,MN,US,CITY,0,CASES
1924,9,DULUTH,MN,US,CITY,0,CASES
1924,10,DULUTH,MN,US,CITY,0,CASES
1924,18,DULUTH,MN,US,CITY,0,CASES
1924,27,DULUTH,MN,US,CITY,0,CASES
1924,51,DULUTH,MN,US,CITY,0,CASES
1925,6,DULUTH,MN,US,CITY,0,CASES
1925,28,DULUTH,MN,US,CITY,0,CASES
1925,31,DULUTH,MN,US,CITY,1,CASES
1925,32,DULUTH,MN,US,CITY,2,CASES
1925,33,DULUTH,MN,US,CITY,3,CASES
1925,34,DULUTH,MN,US,CITY,2,CASES
1925,35,DULUTH,MN,US,CITY,3,CASES
1925,36,DULUTH,MN,US,CITY,4,CASES
1925,37,DULUTH,MN,US,CITY,1,CASES
1925,38,DULUTH,MN,US,CITY,4,CASES
1925,39,DULUTH,MN,US,CITY,0,CASES
1926,8,DULUTH,MN,US,CITY,0,CASES
1926,14,DULUTH,MN,US,CITY,0,CASES
1926,49,DULUTH,MN,US,CITY,0,CASES
1927,4,DULUTH,MN,US,CITY,0,CASES
1927,7,DULUTH,MN,US,CITY,0,CASES
1927,8,DULUTH,MN,US,CITY,0,CASES
1927,9,DULUTH,MN,US,CITY,0,CASES
1927,10,DULUTH,MN,US,CITY,0,CASES
1927,12,DULUTH,MN,US,CITY,0,CASES
1927,14,DULUTH,MN,US,CITY,0,CASES
1927,15,DULUTH,MN,US,CITY,0,CASES
1927,16,DULUTH,MN,US,CITY,0,CASES
1927,17,DULUTH,MN,US,CITY,0,CASES
1927,19,DULUTH,MN,US,CITY,0,CASES
1927,22,DULUTH,MN,US,CITY,0,CASES
1927,24,DULUTH,MN,US,CITY,0,CASES
1927,27,DULUTH,MN,US,CITY,0,CASES
1927,29,DULUTH,MN,US,CITY,0,CASES
1927,30,DULUTH,MN,US,CITY,0,CASES
1927,34,DULUTH,MN,US,CITY,1,CASES
1927,36,DULUTH,MN,US,CITY,0,CASES
1927,39,DULUTH,MN,US,CITY,2,CASES
1927,40,DULUTH,MN,US,CITY,0,CASES
1927,41,DULUTH,MN,US,CITY,1,CASES
1927,52,DULUTH,MN,US,CITY,1,CASES
1928,4,DULUTH,MN,US,CITY,0,CASES
1928,10,DULUTH,MN,US,CITY,0,CASES
1928,16,DULUTH,MN,US,CITY,0,CASES
1928,18,DULUTH,MN,US,CITY,0,CASES
1928,28,DULUTH,MN,US,CITY,0,CASES
1928,31,DULUTH,MN,US,CITY,0,CASES
1928,32,DULUTH,MN,US,CITY,0,CASES
1928,37,DULUTH,MN,US,CITY,2,CASES
1928,38,DULUTH,MN,US,CITY,0,CASES
1928,41,DULUTH,MN,US,CITY,0,CASES
1928,46,DULUTH,MN,US,CITY,0,CASES
1928,48,DULUTH,MN,US,CITY,0,CASES
1929,1,DULUTH,MN,US,CITY,0,CASES
1929,5,DULUTH,MN,US,CITY,0,CASES
1929,6,DULUTH,MN,US,CITY,0,CASES
1929,7,DULUTH,MN,US,CITY,0,CASES
1929,8,DULUTH,MN,US,CITY,0,CASES
1929,17,DULUTH,MN,US,CITY,0,CASES
1929,20,DULUTH,MN,US,CITY,0,CASES
1929,28,DULUTH,MN,US,CITY,0,CASES
1929,30,DULUTH,MN,US,CITY,0,CASES
1929,31,DULUTH,MN,US,CITY,0,CASES
1929,40,DULUTH,MN,US,CITY,0,CASES
1930,6,DULUTH,MN,US,CITY,0,CASES
1930,9,DULUTH,MN,US,CITY,0,CASES
1930,11,DULUTH,MN,US,CITY,0,CASES
1930,22,DULUTH,MN,US,CITY,1,CASES
1930,32,DULUTH,MN,US,CITY,1,CASES
1930,33,DULUTH,MN,US,CITY,0,CASES
1930,34,DULUTH,MN,US,CITY,0,CASES
1930,35,DULUTH,MN,US,CITY,0,CASES
1930,39,DULUTH,MN,US,CITY,1,CASES
1930,45,DULUTH,MN,US,CITY,0,CASES
1930,47,DULUTH,MN,US,CITY,0,CASES
1931,7,DULUTH,MN,US,CITY,1,CASES
1931,21,DULUTH,MN,US,CITY,0,CASES
1931,23,DULUTH,MN,US,CITY,0,CASES
1931,29,DULUTH,MN,US,CITY,1,CASES
1931,30,DULUTH,MN,US,CITY,6,CASES
1931,31,DULUTH,MN,US,CITY,7,CASES
1931,32,DULUTH,MN,US,CITY,14,CASES
1931,33,DULUTH,MN,US,CITY,11,CASES
1931,34,DULUTH,MN,US,CITY,10,CASES
1931,35,DULUTH,MN,US,CITY,8,CASES
1931,36,DULUTH,MN,US,CITY,6,CASES
1931,37,DULUTH,MN,US,CITY,9,CASES
1931,38,DULUTH,MN,US,CITY,4,CASES
1931,39,DULUTH,MN,US,CITY,2,CASES
1931,40,DULUTH,MN,US,CITY,1,CASES
1931,41,DULUTH,MN,US,CITY,1,CASES
1931,43,DULUTH,MN,US,CITY,1,CASES
1931,44,DULUTH,MN,US,CITY,2,CASES
1931,45,DULUTH,MN,US,CITY,1,CASES
1931,48,DULUTH,MN,US,CITY,1,CASES
1931,49,DULUTH,MN,US,CITY,1,CASES
1931,51,DULUTH,MN,US,CITY,0,CASES
1932,35,DULUTH,MN,US,CITY,2,CASES
1932,37,DULUTH,MN,US,CITY,1,CASES
1932,39,DULUTH,MN,US,CITY,0,CASES
1932,50,DULUTH,MN,US,CITY,0,CASES
1933,2,DULUTH,MN,US,CITY,0,CASES
1933,3,DULUTH,MN,US,CITY,0,CASES
1933,5,DULUTH,MN,US,CITY,0,CASES
1933,7,DULUTH,MN,US,CITY,0,CASES
1933,9,DULUTH,MN,US,CITY,0,CASES
1933,15,DULUTH,MN,US,CITY,0,CASES
1933,31,DULUTH,MN,US,CITY,1,CASES
1933,34,DULUTH,MN,US,CITY,1,CASES
1933,35,DULUTH,MN,US,CITY,2,CASES
1933,36,DULUTH,MN,US,CITY,3,CASES
1933,37,DULUTH,MN,US,CITY,3,CASES
1933,38,DULUTH,MN,US,CITY,3,CASES
1933,39,DULUTH,MN,US,CITY,3,CASES
1933,40,DULUTH,MN,US,CITY,2,CASES
1933,41,DULUTH,MN,US,CITY,1,CASES
1933,42,DULUTH,MN,US,CITY,3,CASES
1933,45,DULUTH,MN,US,CITY,1,CASES
1934,9,DULUTH,MN,US,CITY,0,CASES
1934,12,DULUTH,MN,US,CITY,0,CASES
1934,14,DULUTH,MN,US,CITY,0,CASES
1934,22,DULUTH,MN,US,CITY,0,CASES
1934,31,DULUTH,MN,US,CITY,1,CASES
