year,week,loc,state,country,loc_type,number,event
1924,23,SYRACUSE,NY,US,CITY,0,CASES
1924,24,SYRACUSE,NY,US,CITY,0,CASES
1924,25,SYRACUSE,NY,US,CITY,0,CASES
1924,26,SYRACUSE,NY,US,CITY,0,CASES
1924,27,SYRACUSE,NY,US,CITY,0,CASES
1924,28,SYRACUSE,NY,US,CITY,0,CASES
1924,29,SYRACUSE,NY,US,CITY,0,CASES
1924,30,SYRACUSE,NY,US,CITY,0,CASES
1924,31,SYRACUSE,NY,US,CITY,0,CASES
1924,32,SYRACUSE,NY,US,CITY,0,CASES
1924,33,SYRACUSE,NY,US,CITY,0,CASES
1924,34,SYRACUSE,NY,US,CITY,0,CASES
1924,35,SYRACUSE,NY,US,CITY,0,CASES
1924,36,SYRACUSE,NY,US,CITY,0,CASES
1924,37,SYRACUSE,NY,US,CITY,0,CASES
1924,38,SYRACUSE,NY,US,CITY,0,CASES
1924,39,SYRACUSE,NY,US,CITY,0,CASES
1924,40,SYRACUSE,NY,US,CITY,0,CASES
1924,41,SYRACUSE,NY,US,CITY,0,CASES
1924,42,SYRACUSE,NY,US,CITY,0,CASES
1924,43,SYRACUSE,NY,US,CITY,0,CASES
1924,53,SYRACUSE,NY,US,CITY,0,CASES
1925,2,SYRACUSE,NY,US,CITY,0,CASES
1925,5,SYRACUSE,NY,US,CITY,0,CASES
1925,8,SYRACUSE,NY,US,CITY,0,CASES
1925,24,SYRACUSE,NY,US,CITY,0,CASES
1925,25,SYRACUSE,NY,US,CITY,0,CASES
1925,30,SYRACUSE,NY,US,CITY,0,CASES
1925,37,SYRACUSE,NY,US,CITY,1,CASES
1925,38,SYRACUSE,NY,US,CITY,0,CASES
1925,47,SYRACUSE,NY,US,CITY,0,CASES
1926,28,SYRACUSE,NY,US,CITY,0,CASES
1926,29,SYRACUSE,NY,US,CITY,0,CASES
1926,30,SYRACUSE,NY,US,CITY,0,CASES
1926,31,SYRACUSE,NY,US,CITY,0,CASES
1926,32,SYRACUSE,NY,US,CITY,0,CASES
1926,33,SYRACUSE,NY,US,CITY,0,CASES
1926,34,SYRACUSE,NY,US,CITY,0,CASES
1926,35,SYRACUSE,NY,US,CITY,0,CASES
1926,36,SYRACUSE,NY,US,CITY,0,CASES
1926,37,SYRACUSE,NY,US,CITY,0,CASES
1926,38,SYRACUSE,NY,US,CITY,0,CASES
1927,11,SYRACUSE,NY,US,CITY,0,CASES
1927,38,SYRACUSE,NY,US,CITY,0,CASES
1927,51,SYRACUSE,NY,US,CITY,0,CASES
1928,20,SYRACUSE,NY,US,CITY,0,CASES
1928,28,SYRACUSE,NY,US,CITY,0,CASES
1928,31,SYRACUSE,NY,US,CITY,0,CASES
1928,33,SYRACUSE,NY,US,CITY,0,CASES
1928,34,SYRACUSE,NY,US,CITY,0,CASES
1928,36,SYRACUSE,NY,US,CITY,0,CASES
